"ID","locHistory_Catchment","locHistory_LocationName","locHistory_SiteCode","locHistory_GridReference","locHistory_Date","locHistory_AssetID","locHistory_MovementType","locHistory_Date_End","locHistory_Sensor_Height","locHistory_Canopy_Height_At_Install","locHistory_Sensor_Depth","locHistory_Instrument_In_Use","locHistory_Notes","locHistory_DistFromInlet","locHistory_Datum","locHistory_DistFromDatum","locHistory_Sensor firmware","locHistory_Vertical offset","locHistory_North offset","locHistory_East offset","locHistory_Azimuth","locHistory_CPEC_Pump_Flow_Rate"
121,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,642,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
122,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1566,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
123,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1567,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
124,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,686,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
125,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,742,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
126,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,765,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
127,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,710,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
128,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,650,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
129,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,728,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
130,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,730,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
131,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,721,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
132,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,654,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
133,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,663,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
134,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,657,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
135,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,662,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
136,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,659,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
137,,,"xx-UKCEH_Bangor",,16/02/2026 00:00:00,658,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
138,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1568,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
139,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1569,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
140,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1570,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
141,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1571,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
142,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1572,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
143,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1573,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
144,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,749,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
145,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1574,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
146,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1575,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
147,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1576,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
