FLAG_DEF,FLAG_COLUMN,FLAG_SCHEME
SOILVUE_20CM_KA_FLAG_DEF,SoilVUE_1_20cm_avg_Ka_CORRS_FLAG,fdri_correction_flag_scheme
SOILVUE_20CM_KA_FLAG_DEF,SoilVUE_1_20cm_avg_Ka_INFILL_FLAG,fdri_infill_flag_scheme
SOILVUE_20CM_KA_FLAG_DEF,SoilVUE_1_20cm_avg_Ka_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_20CM_TEMP_FLAG_DEF,SoilVUE_1_20cm_avg_T_CORE_FLAG,core_flag_scheme
SOILVUE_20CM_TEMP_FLAG_DEF,SoilVUE_1_20cm_avg_T_CORRS_FLAG,fdri_correction_flag_scheme
SOILVUE_20CM_TEMP_FLAG_DEF,SoilVUE_1_20cm_avg_T_INFILL_FLAG,fdri_infill_flag_scheme
SOILVUE_20CM_TEMP_FLAG_DEF,SoilVUE_1_20cm_avg_T_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_20CM_VWC_FLAG_DEF,SoilVUE_1_20cm_avg_VWC_CORE_FLAG,core_flag_scheme
SOILVUE_20CM_VWC_FLAG_DEF,SoilVUE_1_20cm_avg_VWC_CORRS_FLAG,fdri_correction_flag_scheme
SOILVUE_20CM_VWC_FLAG_DEF,SoilVUE_1_20cm_avg_VWC_INFILL_FLAG,fdri_infill_flag_scheme
SOILVUE_20CM_VWC_FLAG_DEF,SoilVUE_1_20cm_avg_VWC_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_30CM_BULKEC_FLAG_DEF,SoilVUE_1_30cm_avg_BulkEC_CORE_FLAG,core_flag_scheme
SOILVUE_30CM_BULKEC_FLAG_DEF,SoilVUE_1_30cm_avg_BulkEC_CORRS_FLAG,fdri_correction_flag_scheme
SOILVUE_30CM_BULKEC_FLAG_DEF,SoilVUE_1_30cm_avg_BulkEC_INFILL_FLAG,fdri_infill_flag_scheme
SOILVUE_30CM_BULKEC_FLAG_DEF,SoilVUE_1_30cm_avg_BulkEC_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_30CM_KA_FLAG_DEF,SoilVUE_1_30cm_avg_Ka_CORE_FLAG,core_flag_scheme
SOILVUE_30CM_KA_FLAG_DEF,SoilVUE_1_30cm_avg_Ka_CORRS_FLAG,fdri_correction_flag_scheme
SOILVUE_30CM_KA_FLAG_DEF,SoilVUE_1_30cm_avg_Ka_INFILL_FLAG,fdri_infill_flag_scheme
SOILVUE_30CM_KA_FLAG_DEF,SoilVUE_1_30cm_avg_Ka_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_30CM_TEMP_FLAG_DEF,SoilVUE_1_30cm_avg_T_CORE_FLAG,core_flag_scheme
SOILVUE_30CM_TEMP_FLAG_DEF,SoilVUE_1_30cm_avg_T_CORRS_FLAG,fdri_correction_flag_scheme
SOILVUE_30CM_TEMP_FLAG_DEF,SoilVUE_1_30cm_avg_T_INFILL_FLAG,fdri_infill_flag_scheme
SOILVUE_30CM_TEMP_FLAG_DEF,SoilVUE_1_30cm_avg_T_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_30CM_VWC_FLAG_DEF,SoilVUE_1_30cm_avg_VWC_CORE_FLAG,core_flag_scheme
SOILVUE_30CM_VWC_FLAG_DEF,SoilVUE_1_30cm_avg_VWC_CORRS_FLAG,fdri_correction_flag_scheme
SOILVUE_30CM_VWC_FLAG_DEF,SoilVUE_1_30cm_avg_VWC_INFILL_FLAG,fdri_infill_flag_scheme
SOILVUE_30CM_VWC_FLAG_DEF,SoilVUE_1_30cm_avg_VWC_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_40CM_BULKEC_FLAG_DEF,SoilVUE_1_40cm_avg_BulkEC_CORE_FLAG,core_flag_scheme
SOILVUE_40CM_BULKEC_FLAG_DEF,SoilVUE_1_40cm_avg_BulkEC_CORRS_FLAG,fdri_correction_flag_scheme
SOILVUE_40CM_BULKEC_FLAG_DEF,SoilVUE_1_40cm_avg_BulkEC_INFILL_FLAG,fdri_infill_flag_scheme
SOILVUE_40CM_BULKEC_FLAG_DEF,SoilVUE_1_40cm_avg_BulkEC_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_40CM_KA_FLAG_DEF,SoilVUE_1_40cm_avg_Ka_CORE_FLAG,core_flag_scheme
