FLAG_DEF,FLAG_COLUMN,FLAG_SCHEME
PROFILE_VWC15_FLAG_DEF,PROFILE_VWC15_QC_FLAG,cosmos_quality_control_flag_scheme
PROFILE_VWC15_FLAG_DEF,PROFILE_VWC15_INFILL_FLAG,cosmos_infill_flag_scheme
PROFILE_VWC40_FLAG_DEF,PROFILE_VWC40_CORE_FLAG,core_flag_scheme
PROFILE_VWC40_FLAG_DEF,PROFILE_VWC40_CORRS_FLAG,cosmos_correction_flag_scheme
PROFILE_VWC40_FLAG_DEF,PROFILE_VWC40_QC_FLAG,cosmos_quality_control_flag_scheme
PROFILE_VWC40_FLAG_DEF,PROFILE_VWC40_INFILL_FLAG,cosmos_infill_flag_scheme
PROFILE_VWC65_FLAG_DEF,PROFILE_VWC65_CORE_FLAG,core_flag_scheme
PROFILE_VWC65_FLAG_DEF,PROFILE_VWC65_CORRS_FLAG,cosmos_correction_flag_scheme
PROFILE_VWC65_FLAG_DEF,PROFILE_VWC65_QC_FLAG,cosmos_quality_control_flag_scheme
PROFILE_VWC65_FLAG_DEF,PROFILE_VWC65_INFILL_FLAG,cosmos_infill_flag_scheme
Q_FLAG_DEF,Q_CORE_FLAG,core_flag_scheme
Q_FLAG_DEF,Q_CORRS_FLAG,cosmos_correction_flag_scheme
Q_FLAG_DEF,Q_QC_FLAG,cosmos_quality_control_flag_scheme
Q_FLAG_DEF,Q_INFILL_FLAG,cosmos_infill_flag_scheme
RH_FLAG_DEF,RH_CORE_FLAG,core_flag_scheme
RH_FLAG_DEF,RH_CORRS_FLAG,cosmos_correction_flag_scheme
RH_FLAG_DEF,RH_QC_FLAG,cosmos_quality_control_flag_scheme
RH_FLAG_DEF,RH_INFILL_FLAG,cosmos_infill_flag_scheme
RHO_A_MEAN_FLAG_DEF,RHO_A_MEAN_CORE_FLAG,core_flag_scheme
RHO_A_MEAN_FLAG_DEF,RHO_A_MEAN_CORRS_FLAG,cosmos_correction_flag_scheme
RHO_A_MEAN_FLAG_DEF,RHO_A_MEAN_QC_FLAG,cosmos_quality_control_flag_scheme
